index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
0,calle de Torres,Nou Moles ,L'Olivereta,81.0,3,2,None,89.0,39.4737349,-0.3988977
1,calle de Felipe Vives de Cañamás,El Cabanyal-El Canyamelar ,Poblats Marítims,89.0,3,1,None,103.0,None,None
2,calle Plaza Escultor Flrchina,Favara ,Patraix,107.0,4,1,None,120.0,None,None
3,calle de Juan de Celaya,La Creu Coberta ,Jesús,75.0,4,1,None,65.0,39.4516642,-0.3859629
6,calle de Josep Grollo,Benicalap ,Benicalap,122.0,4,1,None,89.505,None,None
7,calle de Mosén Fenollar,Arrancapins ,Extramurs,75.0,3,1,None,125.0,None,None
9,Avinguda de la Malva,La Malva-rosa ,Poblats Marítims,80.0,3,1,None,115.0,None,None
10,Pobles del Sud ,El Saler ,Pobles del Sud,69.0,2,1,None,125.0,39.4282661,-0.3581993
11,calle del Ingeniero José Sirera,Sant Marcel·lí ,Jesús,95.0,3,1,None,124.5,None,None
12,calle de Escalante,El Cabanyal-El Canyamelar ,Poblats Marítims,62.0,1,1,None,83.0,None,None
13,Carrer de Lleida,Marxalenes ,La Saïdia,60.0,3,1,None,85.0,39.4837445,-0.3771311
14,Avinguda de Tres Forques,Tres Forques ,L'Olivereta,75.0,2,2,None,96.0,39.4637178,-0.4053235
15,Pobles del Sud ,El Perellonet ,Pobles del Sud,76.0,2,1,None,120.0,39.4282661,-0.3581993
16,calle de Ramiro de Maeztu,Aiora ,Camins al Grau,90.0,3,1,None,125.0,39.4665817,-0.3452626
17,Carrera de la Fonteta de Sant Lluís,En Corts ,Quatre Carreres,79.0,2,1,None,88.0,39.4490607,-0.368874
18,calle de La Puebla de Farnals,Ciutat Jardí ,Algirós,83.0,3,1,None,119.0,None,None
19,calle de San Juan de Dios,La Malva-rosa ,Poblats Marítims,55.0,2,1,None,79.0,None,None
20,calle del Pintor Stolz,Nou Moles ,L'Olivereta,79.0,3,1,None,89.0,39.469999,-0.4025462
22,Carrer del Doctor Jaime Segarra,Torrefiel ,Rascanya,71.0,2,1,None,100.0,None,None
23,Avenida de la Constitución,Sant Antoni ,La Saïdia,93.0,3,1,None,99.0,39.4860601,-0.3782499
24,Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,60.0,2,1,None,48.0,39.4934831,-0.3898259
25,L'hort de Senabre,L'Hort de Senabre ,Jesús,83.0,3,1,None,104.0,None,None
26,calle de Carrícola,L'Hort de Senabre ,Jesús,65.0,2,1,None,65.0,39.4518126,-0.3871348
28,calle de Manzanera,Trinitat ,La Saïdia,70.0,3,1,None,98.0,39.4849351,-0.3670528
0,Pobles del Sud ,El Perellonet ,Pobles del Sud,97.0,2,2,None,130.0,39.4282661,-0.3581993
1,calle de la Virgen del Sufragio,El Cabanyal-El Canyamelar ,Poblats Marítims,72.0,2,1,None,127.0,None,None
3,calle del Rincón de Ademuz,Nou Moles ,L'Olivereta,61.0,2,1,None,90.0,None,None
5,Carrer de la Florista,Benicalap ,Benicalap,74.0,3,2,None,110.0,39.4903004,-0.391614
7,Carrer del Comte de Torrefiel,Torrefiel ,Rascanya,77.0,3,1,None,90.0,39.4923599,-0.3756537
8,calle de Daroca,Orriols ,Rascanya,65.0,2,1,None,48.0,39.4960427,-0.3687883
9,calle del Alcalde Cano Coloma,Aiora ,Camins al Grau,55.0,2,1,None,120.0,None,None
10,Carrer de Juan Ramón Jiménez,Malilla ,Quatre Carreres,1.0,1,1,None,125.0,39.4484881,-0.3715723
11,Avinguda de Burjasot,Ciutat Fallera ,Benicalap,67.0,3,1,None,87.0,39.4885349,-0.3894175
12,calle Pintor Juan Bautista Porcar,Torrefiel ,Rascanya,101.0,3,1,None,105.0,None,None
